  101 ! (c) 2018 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2018 04 13 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 MTHE    67     0     51   24.8    6.3    6.1   173   12.2    1.4   10.4    0.00   972.93    46   25.2    5.1   16.5   19.1   16.6   -998   -998    1.45    -998    -998
 NEWK    68     0     45   27.5   11.3   11.2   172    7.5    1.4   15.0    0.00   954.05   124   27.5    8.8   17.2   22.5   18.5   13.6   11.3    2.04    1.45    1.89
 NEWP   123     0     61   25.2   10.9   10.7   168    9.4    2.2   14.6    0.00   968.87   145   25.0    8.7   15.6   23.4   16.8   -998   -998    1.49    -998    -998
 NOWA    70     0     54   25.1    9.4    9.3   176    8.1    1.6   13.2    0.00   975.21   138   25.3    7.4   13.2   22.2   14.8   11.4   10.4    2.32    1.48    1.49
 NRMN   121     0     52   27.4    8.1    7.9   163   13.7    1.8   12.1    0.00   958.24   148   27.5    7.1   17.6   23.3   18.5   14.3   12.9    2.00    1.47    1.47
 OILT    71     0     55   25.8    8.0    7.9   165   12.3    1.8   13.6    0.00   969.57    88   25.9    6.7   16.8   21.6   17.7   14.2   11.9    1.59    1.61    1.59
 OKCE   130     0     50   27.7    6.4    6.1   161   19.7    2.0   11.9    0.00   957.71   153   27.7    5.3   21.1   27.3   24.3   18.1   14.3    2.03    1.75    1.55
 OKCN   128     0     49   27.9    8.4    8.2   166   13.1    2.2   15.3    0.00   956.48   145   28.0    7.0   18.2   22.4   20.8   14.6   12.8    3.33    3.12    1.89
 OKEM    72     0     60   24.6    9.1    9.0   180   11.5    1.6   13.7    0.00   971.03   103   24.9    7.2   18.0   18.7   19.2   14.9   -998    1.47    1.50    -998
 OKMU    73     0     55   25.4    6.8    6.7   182   12.6    1.7   10.6    0.00   977.80   131   25.6    5.4   16.1   19.4   17.3   13.2   -998    1.48    1.56    -998
 PAUL    74     0     59   25.8    8.6    8.4   166   12.7    2.1   12.8    0.00   967.14   147   25.6    5.7   19.5   23.0   20.9   16.1   14.0    1.72    1.54    1.59
 PAWN    75     0     48   27.2   11.6   11.4   169    8.9    2.3   16.1    0.00   965.28   115   27.2    9.4   19.1   21.3   19.3   14.2   12.3    2.54    3.16    1.58
 PERK    76     0     50   27.3    9.7    9.6   167    8.4    1.7   13.7    0.00   964.16   144   27.2    7.7   20.2   24.1   19.5   14.6   12.3    2.32    1.81    1.46
 PORT   118     0     56   25.2   10.1   10.0   177    9.0    1.6   13.5    0.00   979.12   126   25.3    8.4   15.8   19.0   16.2   13.5   11.8    1.45    1.40    1.54
 PRYO    77     0     53   25.2   10.6   10.5   186    7.0    1.9   15.4    0.00   977.19   134   25.4    7.6   14.8   18.9   16.0   12.7   -998    1.53    1.42    -998
 PUTN    78     0      9   34.2    9.8    9.7   182    7.2    1.6   13.1    0.00   927.68   193   34.3    7.1   16.4   23.6   -999   13.4   12.5    3.59    1.96    3.46
 REDR    79     0     46   27.9   11.7   11.6   168    8.0    1.9   16.3    0.00   962.68    31   28.2    9.0   17.4   23.0   17.4   13.2   11.7    1.92    1.38    1.35
 RING    81     0     59   26.5   11.5   11.4   156    7.2    1.8   16.2    0.00   967.84   147   26.6    9.0   16.9   25.4   18.3   15.1   -998    1.92    1.62    -998
 SALL    82     0     47   26.1    5.6    5.4   166   11.9    1.2    8.5    0.00   985.09   115   26.4    4.1   19.0   20.3   21.2   15.8   12.8    1.50    1.34    1.36
